MGI Gene ID	Gene Symbol	Theiler Stage	Structure Name	MGI anatomy ID	UBERON ID	EMAPA ID	MA ID	MGI Assay ID	MGI Ref ID	PubMed ID
MGI:1915527	2310057M21Rik	23	humerus	4860887	0000976	18468		MGI:4822668	J:153498	21267068
MGI:1915527	2310057M21Rik	23	humerus	4860887	0000976	18468		MGI:4822668	J:153498	21267068
MGI:1924647	9530003J23Rik	23	humerus	4860887	0000976	18468		MGI:4822807	J:153498	21267068
MGI:1924647	9530003J23Rik	23	humerus	4860887	0000976	18468		MGI:4822807	J:153498	21267068
MGI:1924647	9530003J23Rik	23	humerus	4860887	0000976	18468		MGI:4822807	J:153498	21267068
MGI:1924647	9530003J23Rik	23	humerus	4860887	0000976	18468		MGI:4822807	J:153498	21267068
MGI:1924647	9530003J23Rik	23	humerus	4860887	0000976	18468		MGI:4822807	J:153498	21267068
MGI:1924647	9530003J23Rik	23	humerus	4860887	0000976	18468		MGI:4822807	J:153498	21267068
MGI:3041178	A530013C23Rik	23	humerus	4860887	0000976	18468		MGI:4822833	J:153498	21267068
MGI:3041178	A530013C23Rik	23	humerus	4860887	0000976	18468		MGI:4822833	J:153498	21267068
MGI:3041178	A530013C23Rik	23	humerus	4860887	0000976	18468		MGI:4822833	J:153498	21267068
MGI:3041178	A530013C23Rik	23	humerus	4860887	0000976	18468		MGI:4822833	J:153498	21267068
MGI:3041178	A530013C23Rik	23	humerus	4860887	0000976	18468		MGI:4822833	J:153498	21267068
MGI:3041178	A530013C23Rik	23	humerus	4860887	0000976	18468		MGI:4822833	J:153498	21267068
MGI:3041178	A530013C23Rik	23	humerus	4860887	0000976	18468		MGI:4822833	J:153498	21267068
MGI:1921287	Acot6	23	humerus	4860887	0000976	18468		MGI:4822927	J:153498	21267068
MGI:1921287	Acot6	23	humerus	4860887	0000976	18468		MGI:4822927	J:153498	21267068
MGI:1921287	Acot6	23	humerus	4860887	0000976	18468		MGI:4822927	J:153498	21267068
MGI:1921287	Acot6	23	humerus	4860887	0000976	18468		MGI:4822927	J:153498	21267068
MGI:1921287	Acot6	23	humerus	4860887	0000976	18468		MGI:4822927	J:153498	21267068
MGI:1921287	Acot6	23	humerus	4860887	0000976	18468		MGI:4822927	J:153498	21267068
MGI:87883	Acp5	23	humerus	4860887	0000976	18468		MGI:4822934	J:153498	21267068
MGI:87883	Acp5	23	humerus	4860887	0000976	18468		MGI:4822934	J:153498	21267068
MGI:87883	Acp5	23	humerus	4860887	0000976	18468		MGI:4822934	J:153498	21267068
MGI:87883	Acp5	23	humerus	4860887	0000976	18468		MGI:4822934	J:153498	21267068
MGI:2385656	Acsbg1	23	humerus	4860887	0000976	18468		MGI:4822936	J:153498	21267068
MGI:2385656	Acsbg1	23	humerus	4860887	0000976	18468		MGI:4822936	J:153498	21267068
MGI:2385656	Acsbg1	23	humerus	4860887	0000976	18468		MGI:4822936	J:153498	21267068
MGI:2385656	Acsbg1	23	humerus	4860887	0000976	18468		MGI:4822936	J:153498	21267068
MGI:2385656	Acsbg1	23	humerus	4860887	0000976	18468		MGI:4822936	J:153498	21267068
MGI:2385656	Acsbg1	23	humerus	4860887	0000976	18468		MGI:4822936	J:153498	21267068
MGI:2385656	Acsbg1	23	humerus	4860887	0000976	18468		MGI:4822936	J:153498	21267068
MGI:2385656	Acsbg1	23	humerus	4860887	0000976	18468		MGI:4822936	J:153498	21267068
MGI:1920603	Actrt2	23	humerus	4860887	0000976	18468		MGI:4822962	J:153498	21267068
MGI:1920603	Actrt2	23	humerus	4860887	0000976	18468		MGI:4822962	J:153498	21267068
MGI:1920603	Actrt2	23	humerus	4860887	0000976	18468		MGI:4822962	J:153498	21267068
MGI:1920603	Actrt2	23	humerus	4860887	0000976	18468		MGI:4822962	J:153498	21267068
MGI:1920603	Actrt2	23	humerus	4860887	0000976	18468		MGI:4822962	J:153498	21267068
