Allele ID(s)	MGI Marker Accession ID	PubMed ID	Mammalian Phenotype ID	MP term name	Entity 1	Quality 1	Quality 2	Entity 2
MGI:2445968	MGI:95462	8978698	MP:0000547	short limbs	UBERON:0002101 ! limb	PATO:0000574 ! decreased length		
MGI:2135676	MGI:95524	10861287	MP:0000547	short limbs	UBERON:0002101 ! limb	PATO:0000574 ! decreased length		
MGI:2135676	MGI:95524	11406607	MP:0000547	short limbs	UBERON:0002101 ! limb	PATO:0000574 ! decreased length		
MGI:2388062	MGI:95524	11406607	MP:0000547	short limbs	UBERON:0002101 ! limb	PATO:0000574 ! decreased length		
MGI:2388062	MGI:95524	11406607	MP:0000547	short limbs	UBERON:0002101 ! limb	PATO:0000574 ! decreased length		
MGI:2181817	MGI:95574	1465144	MP:0000547	short limbs	UBERON:0002101 ! limb	PATO:0000574 ! decreased length		
MGI:3711070	MGI:95655	17504940	MP:0000547	short limbs	UBERON:0002101 ! limb	PATO:0000574 ! decreased length		
MGI:1856810	MGI:95688	908358	MP:0000547	short limbs	UBERON:0002101 ! limb	PATO:0000574 ! decreased length		
MGI:1857509	MGI:95728	9006072	MP:0000547	short limbs	UBERON:0002101 ! limb	PATO:0000574 ! decreased length		
MGI:2182576	MGI:95729	11978771	MP:0000547	short limbs	UBERON:0002101 ! limb	PATO:0000574 ! decreased length		
MGI:1856041	MGI:95872	2495302	MP:0000547	short limbs	UBERON:0002101 ! limb	PATO:0000574 ! decreased length		
MGI:2451059	MGI:95872	12403825	MP:0000547	short limbs	UBERON:0002101 ! limb	PATO:0000574 ! decreased length		
MGI:2661042	MGI:95872	12700165	MP:0000547	short limbs	UBERON:0002101 ! limb	PATO:0000574 ! decreased length		
MGI:2152564	MGI:95872	"112,282,599,774,663"	MP:0000547	short limbs	UBERON:0002101 ! limb	PATO:0000574 ! decreased length		
MGI:1856041	MGI:95872		MP:0000547	short limbs	UBERON:0002101 ! limb	PATO:0000574 ! decreased length		
MGI:2445969	MGI:96205	8978698	MP:0000547	short limbs	UBERON:0002101 ! limb	PATO:0000574 ! decreased length		
MGI:1934891	MGI:96257	10545953	MP:0000547	short limbs	UBERON:0002101 ! limb	PATO:0000574 ! decreased length		
MGI:1934892	MGI:96257	10579729	MP:0000547	short limbs	UBERON:0002101 ! limb	PATO:0000574 ! decreased length		
MGI:1934258	MGI:96533	10465785	MP:0000547	short limbs	UBERON:0002101 ! limb	PATO:0000574 ! decreased length		
MGI:1934258	MGI:96533	11748145	MP:0000547	short limbs	UBERON:0002101 ! limb	PATO:0000574 ! decreased length		
MGI:2176787	MGI:96560	14617570	MP:0000547	short limbs	UBERON:0002101 ! limb	PATO:0000574 ! decreased length		
MGI:2657240	MGI:97362	9843834	MP:0000547	short limbs	UBERON:0002101 ! limb	PATO:0000574 ! decreased length		
MGI:2388899	MGI:97369	17439653	MP:0000547	short limbs	UBERON:0002101 ! limb	PATO:0000574 ! decreased length		
MGI:1856702	MGI:97372	5713631	MP:0000547	short limbs	UBERON:0002101 ! limb	PATO:0000574 ! decreased length		
MGI:1856983	MGI:97469		MP:0000547	short limbs	UBERON:0002101 ! limb	PATO:0000574 ! decreased length		
MGI:1857531	MGI:97712	18198333	MP:0000547	short limbs	UBERON:0002101 ! limb	PATO:0000574 ! decreased length		
MGI:2154515	MGI:97800	8314082	MP:0000547	short limbs	UBERON:0002101 ! limb	PATO:0000574 ! decreased length		
MGI:2154515	MGI:97800	11994406	MP:0000547	short limbs	UBERON:0002101 ! limb	PATO:0000574 ! decreased length		
MGI:2388593	MGI:97800	14751559	MP:0000547	short limbs	UBERON:0002101 ! limb	PATO:0000574 ! decreased length		
MGI:2154519	MGI:97801	8662561	MP:0000547	short limbs	UBERON:0002101 ! limb	PATO:0000574 ! decreased length		
MGI:1861186	MGI:98297	8270769	MP:0000547	short limbs	UBERON:0002101 ! limb	PATO:0000574 ! decreased length		
MGI:1861186	MGI:98297	8270769	MP:0000547	short limbs	UBERON:0002101 ! limb	PATO:0000574 ! decreased length		
MGI:1857047	MGI:98322		MP:0000547	short limbs	UBERON:0002101 ! limb	PATO:0000574 ! decreased length		
MGI:1857056	MGI:98429	5713631	MP:0000547	short limbs	UBERON:0002101 ! limb	PATO:0000574 ! decreased length		
